case,actuation_pattern,del_x,del_y,del_z,del_qx,del_qy,del_qz,del_qw
8,"(0, 1, 0, 1)",0.009436548,0.163348108,0.068487048,0.463517968,0.121576168,0.041427671,-0.127141595
8,"(0, 1, 0, 1)",-0.080858133,0.080505147,0.03668189,0.234547023,0.281556569,0.007049292,-0.067361832
8,"(0, 1, 0, 1)",-0.072392948,0.091165744,0.038001537,0.229907129,0.296507128,0.022464603,-0.064060927
8,"(0, 1, 0, 1)",-0.038983851,0.115607106,0.049036264,0.358799402,0.229098238,0.054638564,-0.083492935
8,"(0, 1, 0, 1)",-0.101249173,0.078086089,0.039502263,0.17002653,0.35307885,0.013470232,-0.070178748
8,"(0, 1, 0, 1)",-0.140082988,0.059774056,0.04262805,0.056145672,0.41768191,0.02113825,-0.073848427
8,"(0, 1, 0, 1)",-0.038079217,0.105551225,0.04236269,0.327940796,0.222047083,0.036161661,-0.075236738
8,"(0, 1, 0, 1)",-0.069819182,0.088303991,0.036231875,0.257474426,0.247035258,0.011944621,-0.063815654
8,"(0, 1, 0, 1)",-0.096164777,0.090013012,0.043766975,0.209989641,0.344345041,0.018262922,-0.075429976
8,"(0, 1, 0, 1)",-0.042958751,0.121578292,0.054468274,0.364583496,0.258732625,0.036303162,-0.100267411
8,"(0, 1, 0, 1)",-0.037321522,0.127747299,0.058161139,0.381885652,0.262620561,0.062135636,-0.100021363
8,"(0, 1, 0, 1)",-0.088011868,0.05775208,0.026537895,0.109854806,0.294812389,0.013987749,-0.039391697
